layout,layoutCount,algorithm,iteration,foodCount,cost,expandedNodes,score,result
tiny,7,astar,0,4,16,27,524,Win
tiny,7,astar,0,5,29,42,521,Win
tiny,7,astar,0,6,20,20,540,Win
tiny,7,astar,0,7,21,35,549,Win
tiny,7,astar,0,8,34,47,546,Win
tiny,7,astar,0,9,30,41,560,Win
tiny,7,astar,0,10,36,49,571,Win
tiny,7,astar,0,11,35,57,575,Win
tiny,7,bds,0,2,23,46,497,Win
tiny,7,bds,0,3,14,24,517,Win
tiny,7,bds,0,4,16,22,524,Win
tiny,7,bds,0,5,29,46,521,Win
tiny,7,bds,0,6,20,27,540,Win
tiny,7,bds,0,7,21,40,549,Win
tiny,7,bds,0,8,34,45,546,Win
tiny,7,bds,0,9,30,37,560,Win
tiny,7,bds,0,10,36,55,571,Win
tiny,7,bds,0,11,35,57,575,Win
tiny,8,dfs,0,2,7,7,513,Win
tiny,8,dfs,0,3,16,19,514,Win
tiny,8,dfs,0,4,17,50,523,Win
tiny,8,dfs,0,5,34,119,516,Win
tiny,8,dfs,0,6,23,108,537,Win
tiny,8,dfs,0,7,38,77,532,Win
tiny,8,dfs,0,8,27,131,553,Win
tiny,8,dfs,0,9,38,149,552,Win
tiny,8,dfs,0,10,37,112,564,Win
tiny,8,dfs,0,11,44,208,566,Win
tiny,8,bfs,0,2,7,20,513,Win
tiny,8,bfs,0,3,14,47,516,Win
tiny,8,bfs,0,4,15,40,525,Win
tiny,8,bfs,0,5,28,57,522,Win
tiny,8,bfs,0,6,21,45,539,Win
tiny,8,bfs,0,7,32,73,538,Win
tiny,8,bfs,0,8,25,52,555,Win
tiny,8,bfs,0,9,30,75,560,Win
tiny,8,bfs,0,10,29,58,572,Win
tiny,8,bfs,0,11,38,69,572,Win
tiny,8,ucs,0,2,7,20,513,Win
tiny,8,ucs,0,3,14,47,516,Win
tiny,8,ucs,0,4,15,40,525,Win
tiny,8,ucs,0,5,28,57,522,Win
tiny,8,ucs,0,6,21,45,539,Win
tiny,8,ucs,0,7,32,73,538,Win
tiny,8,ucs,0,8,25,52,555,Win
tiny,8,ucs,0,9,30,75,560,Win
tiny,8,ucs,0,10,29,58,572,Win
tiny,8,ucs,0,11,38,69,572,Win
tiny,8,astar,0,2,7,10,513,Win
tiny,8,astar,0,3,14,22,516,Win
tiny,8,astar,0,4,15,22,525,Win
tiny,8,astar,0,5,28,36,522,Win
tiny,8,astar,0,6,21,24,539,Win
tiny,8,astar,0,7,32,50,538,Win
tiny,8,astar,0,8,25,29,555,Win
tiny,8,astar,0,9,30,47,560,Win
tiny,8,astar,0,10,29,41,572,Win
tiny,8,astar,0,11,38,48,572,Win
tiny,8,bds,0,2,7,14,513,Win
tiny,8,bds,0,3,14,31,516,Win
tiny,8,bds,0,4,15,30,525,Win
tiny,8,bds,0,5,28,45,522,Win
tiny,8,bds,0,6,21,32,539,Win
tiny,8,bds,0,7,32,45,538,Win
tiny,8,bds,0,8,25,44,555,Win
tiny,8,bds,0,9,30,52,560,Win
tiny,8,bds,0,10,29,48,572,Win
tiny,8,bds,0,11,38,54,572,Win
tiny,9,dfs,0,2,7,19,513,Win
tiny,9,dfs,0,3,14,42,516,Win
tiny,9,dfs,0,4,34,83,506,Win
tiny,9,dfs,0,5,28,98,522,Win
tiny,9,dfs,0,6,31,64,529,Win
tiny,9,dfs,0,7,34,80,536,Win
tiny,9,dfs,0,8,32,89,548,Win
tiny,9,dfs,0,9,46,107,544,Win
tiny,9,dfs,0,10,37,87,563,Win
tiny,9,dfs,0,11,35,181,575,Win
tiny,9,bfs,0,2,7,23,513,Win
tiny,9,bfs,0,3,10,28,520,Win
tiny,9,bfs,0,4,28,60,512,Win
tiny,9,bfs,0,5,24,54,526,Win
tiny,9,bfs,0,6,25,64,535,Win
tiny,9,bfs,0,7,32,67,538,Win
tiny,9,bfs,0,8,28,64,552,Win
tiny,9,bfs,0,9,44,96,546,Win
tiny,9,bfs,0,10,31,63,569,Win
tiny,9,bfs,0,11,29,54,581,Win
tiny,9,ucs,0,2,7,23,513,Win
tiny,9,ucs,0,3,10,28,520,Win
tiny,9,ucs,0,4,28,60,512,Win
tiny,9,ucs,0,5,24,54,526,Win
tiny,9,ucs,0,6,25,64,535,Win
tiny,9,ucs,0,7,32,67,538,Win
tiny,9,ucs,0,8,28,64,552,Win
tiny,9,ucs,0,9,44,96,546,Win
tiny,9,ucs,0,10,31,63,569,Win
tiny,9,ucs,0,11,29,54,581,Win
tiny,9,astar,0,2,7,8,513,Win
tiny,9,astar,0,3,10,17,520,Win
tiny,9,astar,0,4,28,56,512,Win
tiny,9,astar,0,5,24,38,526,Win
tiny,9,astar,0,6,25,35,535,Win
tiny,9,astar,0,7,32,46,538,Win
tiny,9,astar,0,8,28,45,552,Win
tiny,9,astar,0,9,44,63,546,Win
tiny,9,astar,0,10,31,42,569,Win
tiny,9,astar,0,11,29,40,581,Win
tiny,9,bds,0,2,7,16,513,Win
tiny,9,bds,0,3,10,17,520,Win
tiny,9,bds,0,4,28,40,512,Win
tiny,9,bds,0,5,24,41,526,Win
tiny,9,bds,0,6,25,40,535,Win
tiny,9,bds,0,7,32,47,538,Win
tiny,9,bds,0,8,28,44,552,Win
tiny,9,bds,0,9,44,60,546,Win
tiny,9,bds,0,10,31,45,569,Win
tiny,9,bds,0,11,29,36,581,Win
small,0,dfs,0,2,49,109,485,Win
small,0,dfs,0,3,61,130,469,Win
small,0,dfs,0,4,51,198,489,Win
small,0,dfs,0,5,62,219,488,Win
small,0,dfs,0,6,80,259,480,Win
small,0,dfs,0,7,95,228,475,Win
small,0,dfs,0,8,110,255,470,Win
small,0,dfs,0,9,161,558,459,Win
small,0,dfs,0,10,139,438,461,Win
small,0,dfs,0,11,159,405,474,Win
small,0,bfs,0,2,25,89,495,Win
small,0,bfs,0,3,37,134,493,Win
small,0,bfs,0,4,39,171,501,Win
small,0,bfs,0,5,22,89,528,Win
small,0,bfs,0,6,52,159,508,Win
small,0,bfs,0,7,63,246,507,Win
small,0,bfs,0,8,66,245,514,Win
small,0,bfs,0,9,79,300,511,Win
small,0,bfs,0,10,77,294,523,Win
small,0,bfs,0,11,89,277,521,Win
small,0,ucs,0,2,25,89,495,Win
small,0,ucs,0,3,37,134,493,Win
small,0,ucs,0,4,39,171,501,Win
small,0,ucs,0,5,22,89,528,Win
small,0,ucs,0,6,52,159,508,Win
small,0,ucs,0,7,63,246,507,Win
small,0,ucs,0,8,66,245,514,Win
small,0,ucs,0,9,79,300,511,Win
small,0,ucs,0,10,77,294,523,Win
small,0,ucs,0,11,89,277,521,Win
small,0,astar,0,2,25,65,495,Win
small,0,astar,0,3,37,76,493,Win
small,0,astar,0,4,39,73,501,Win
small,0,astar,0,5,22,47,528,Win
small,0,astar,0,6,52,134,508,Win
small,0,astar,0,7,63,146,507,Win
small,0,astar,0,8,66,163,514,Win
small,0,astar,0,9,79,270,511,Win
small,0,astar,0,10,77,187,523,Win
small,0,astar,0,11,89,211,536,Win
small,0,bds,0,2,25,89,495,Win
small,0,bds,0,3,37,94,493,Win
small,0,bds,0,4,39,94,501,Win
small,0,bds,0,5,22,55,528,Win
small,0,bds,0,6,52,140,508,Win
small,0,bds,0,7,63,145,507,Win
small,0,bds,0,8,66,130,514,Win
small,0,bds,0,9,79,204,511,Win
small,0,bds,0,10,77,197,523,Win
small,0,bds,0,11,89,198,532,Win
small,1,dfs,0,2,48,131,472,Win
small,1,dfs,0,3,44,132,486,Win
small,1,dfs,0,4,75,139,471,Win
small,1,dfs,0,5,58,148,492,Win
small,1,dfs,0,6,87,387,473,Win
small,1,dfs,0,7,95,339,475,Win
small,1,dfs,0,8,134,543,446,Win
small,1,dfs,0,9,118,327,472,Win
small,1,dfs,0,10,99,260,501,Win
small,1,dfs,0,11,205,660,405,Win
small,1,bfs,0,2,24,108,496,Win
small,1,bfs,0,3,32,157,498,Win
small,1,bfs,0,4,35,156,505,Win
small,1,bfs,0,5,26,114,524,Win
small,1,bfs,0,6,21,70,539,Win
small,1,bfs,0,7,47,226,523,Win
small,1,bfs,0,8,50,205,530,Win
small,1,bfs,0,9,60,260,530,Win
small,1,bfs,0,10,39,155,561,Win
small,1,bfs,0,11,63,277,547,Win
small,1,ucs,0,2,24,108,496,Win
small,1,ucs,0,3,32,157,498,Win
small,1,ucs,0,4,35,156,505,Win
small,1,ucs,0,5,26,114,524,Win
small,1,ucs,0,6,21,70,539,Win
small,1,ucs,0,7,47,226,523,Win
small,1,ucs,0,8,50,205,530,Win
small,1,ucs,0,9,60,260,530,Win
small,1,ucs,0,10,39,155,561,Win
small,1,ucs,0,11,63,277,547,Win
small,1,astar,0,2,24,47,496,Win
small,1,astar,0,3,32,74,498,Win
small,1,astar,0,4,35,61,505,Win
small,1,astar,0,5,26,42,524,Win
small,1,astar,0,6,21,34,539,Win
small,1,astar,0,7,47,113,523,Win
small,1,astar,0,8,50,80,530,Win
small,1,astar,0,9,60,141,530,Win
small,1,astar,0,10,39,61,561,Win
small,1,astar,0,11,63,206,547,Win
small,1,bds,0,2,24,68,496,Win
small,1,bds,0,3,32,94,498,Win
small,1,bds,0,4,35,91,505,Win
small,1,bds,0,5,26,75,524,Win
small,1,bds,0,6,21,45,539,Win
small,1,bds,0,7,47,137,523,Win
small,1,bds,0,8,50,132,530,Win
small,1,bds,0,9,60,148,530,Win
small,1,bds,0,10,39,88,561,Win
small,1,bds,0,11,63,182,547,Win
small,2,dfs,0,2,86,184,434,Win
small,2,dfs,0,3,15,118,515,Win
small,2,dfs,0,4,107,259,433,Win
small,2,dfs,0,5,124,293,467,Win
small,2,dfs,0,6,85,374,475,Win
small,2,dfs,0,7,91,229,479,Win
small,2,dfs,0,8,148,405,432,Win
small,2,dfs,0,9,217,483,373,Win
small,2,dfs,0,10,195,489,414,Win
small,2,dfs,0,11,184,569,426,Win
small,2,bfs,0,2,20,111,500,Win
small,2,bfs,0,3,11,36,519,Win
small,2,bfs,0,4,39,178,501,Win
small,2,bfs,0,5,34,154,516,Win
small,2,bfs,0,6,29,113,531,Win
small,2,bfs,0,7,39,157,534,Win
small,2,bfs,0,8,64,300,516,Win
small,2,bfs,0,9,63,263,527,Win
small,2,bfs,0,10,65,249,535,Win
small,2,bfs,0,11,92,410,518,Win
small,2,ucs,0,2,20,111,500,Win
small,2,ucs,0,3,11,36,519,Win
small,2,ucs,0,4,39,178,501,Win
