layout,layoutCount,algorithm,iteration,cost,expandedNodes,score,result
tiny,6,bds,5,6,12,504,Win
tiny,6,bds,6,8,11,502,Win
tiny,6,bds,7,15,25,495,Win
tiny,6,bds,8,4,5,506,Win
tiny,6,bds,9,9,13,501,Win
tiny,7,dfs,0,13,23,497,Win
tiny,7,dfs,1,7,7,503,Win
tiny,7,dfs,2,13,23,497,Win
tiny,7,dfs,3,3,17,507,Win
tiny,7,dfs,4,13,19,497,Win
tiny,7,dfs,5,1,1,509,Win
tiny,7,dfs,6,3,9,507,Win
tiny,7,dfs,7,14,19,496,Win
tiny,7,dfs,8,8,14,502,Win
tiny,7,dfs,9,3,18,507,Win
tiny,7,bfs,0,11,22,499,Win
tiny,7,bfs,1,7,18,503,Win
tiny,7,bfs,2,9,22,501,Win
tiny,7,bfs,3,3,7,507,Win
tiny,7,bfs,4,13,27,497,Win
tiny,7,bfs,5,1,1,509,Win
tiny,7,bfs,6,3,8,507,Win
tiny,7,bfs,7,12,27,498,Win
tiny,7,bfs,8,8,12,502,Win
tiny,7,bfs,9,3,6,507,Win
tiny,7,ucs,0,11,22,499,Win
tiny,7,ucs,1,7,18,503,Win
tiny,7,ucs,2,9,22,501,Win
tiny,7,ucs,3,3,7,507,Win
tiny,7,ucs,4,13,27,497,Win
tiny,7,ucs,5,1,1,509,Win
tiny,7,ucs,6,3,8,507,Win
tiny,7,ucs,7,12,27,498,Win
tiny,7,ucs,8,8,12,502,Win
tiny,7,ucs,9,3,6,507,Win
tiny,7,astar,0,11,14,499,Win
tiny,7,astar,1,7,9,503,Win
tiny,7,astar,2,9,14,501,Win
tiny,7,astar,3,3,3,507,Win
tiny,7,astar,4,13,21,497,Win
tiny,7,astar,5,1,1,509,Win
tiny,7,astar,6,3,3,507,Win
tiny,7,astar,7,12,19,498,Win
tiny,7,astar,8,8,9,502,Win
tiny,7,astar,9,3,3,507,Win
tiny,7,bds,0,11,20,499,Win
tiny,7,bds,1,7,12,503,Win
tiny,7,bds,2,9,20,501,Win
tiny,7,bds,3,3,3,507,Win
tiny,7,bds,4,13,25,497,Win
tiny,7,bds,5,1,1,509,Win
tiny,7,bds,6,3,5,507,Win
tiny,7,bds,7,12,25,498,Win
tiny,7,bds,8,8,13,502,Win
tiny,7,bds,9,3,5,507,Win
tiny,8,dfs,0,5,10,505,Win
tiny,8,dfs,1,5,5,505,Win
tiny,8,dfs,2,13,16,497,Win
tiny,8,dfs,3,13,19,497,Win
tiny,8,dfs,4,8,23,502,Win
tiny,8,dfs,5,14,28,496,Win
tiny,8,dfs,6,7,21,503,Win
tiny,8,dfs,7,1,1,509,Win
tiny,8,dfs,8,8,8,502,Win
tiny,8,dfs,9,14,18,496,Win
tiny,8,bfs,0,5,10,505,Win
tiny,8,bfs,1,5,7,505,Win
tiny,8,bfs,2,13,24,497,Win
tiny,8,bfs,3,11,28,499,Win
tiny,8,bfs,4,6,14,504,Win
tiny,8,bfs,5,10,22,500,Win
tiny,8,bfs,6,5,11,505,Win
tiny,8,bfs,7,1,1,509,Win
tiny,8,bfs,8,6,8,504,Win
tiny,8,bfs,9,12,27,498,Win
tiny,8,ucs,0,5,10,505,Win
tiny,8,ucs,1,5,7,505,Win
tiny,8,ucs,2,13,24,497,Win
tiny,8,ucs,3,11,28,499,Win
tiny,8,ucs,4,6,14,504,Win
tiny,8,ucs,5,10,22,500,Win
tiny,8,ucs,6,5,11,505,Win
tiny,8,ucs,7,1,1,509,Win
tiny,8,ucs,8,6,8,504,Win
tiny,8,ucs,9,12,27,498,Win
tiny,8,astar,0,5,6,505,Win
tiny,8,astar,1,5,5,505,Win
tiny,8,astar,2,13,14,497,Win
tiny,8,astar,3,11,22,499,Win
tiny,8,astar,4,6,9,504,Win
tiny,8,astar,5,10,17,500,Win
tiny,8,astar,6,5,7,505,Win
tiny,8,astar,7,1,1,509,Win
tiny,8,astar,8,6,6,504,Win
tiny,8,astar,9,12,23,498,Win
tiny,8,bds,0,5,7,505,Win
tiny,8,bds,1,5,7,505,Win
tiny,8,bds,2,13,18,497,Win
tiny,8,bds,3,11,22,499,Win
tiny,8,bds,4,6,10,504,Win
tiny,8,bds,5,10,21,500,Win
tiny,8,bds,6,5,7,505,Win
tiny,8,bds,7,1,1,509,Win
tiny,8,bds,8,6,8,504,Win
tiny,8,bds,9,12,25,498,Win
tiny,9,dfs,0,9,9,501,Win
tiny,9,dfs,1,14,23,496,Win
tiny,9,dfs,2,6,17,504,Win
tiny,9,dfs,3,9,25,501,Win
tiny,9,dfs,4,8,9,502,Win
tiny,9,dfs,5,9,23,501,Win
tiny,9,dfs,6,7,24,503,Win
tiny,9,dfs,7,8,9,502,Win
tiny,9,dfs,8,11,23,499,Win
tiny,9,dfs,9,9,21,501,Win
tiny,9,bfs,0,9,24,501,Win
tiny,9,bfs,1,14,28,496,Win
tiny,9,bfs,2,6,15,504,Win
tiny,9,bfs,3,9,17,501,Win
tiny,9,bfs,4,8,16,502,Win
tiny,9,bfs,5,7,25,503,Win
tiny,9,bfs,6,7,28,503,Win
tiny,9,bfs,7,8,16,502,Win
tiny,9,bfs,8,11,27,499,Win
tiny,9,bfs,9,5,10,505,Win
tiny,9,ucs,0,9,24,501,Win
tiny,9,ucs,1,14,28,496,Win
tiny,9,ucs,2,6,15,504,Win
tiny,9,ucs,3,9,17,501,Win
tiny,9,ucs,4,8,16,502,Win
tiny,9,ucs,5,7,25,503,Win
tiny,9,ucs,6,7,28,503,Win
tiny,9,ucs,7,8,16,502,Win
tiny,9,ucs,8,11,27,499,Win
tiny,9,ucs,9,5,10,505,Win
tiny,9,astar,0,9,14,501,Win
tiny,9,astar,1,14,22,496,Win
tiny,9,astar,2,6,8,504,Win
tiny,9,astar,3,9,11,501,Win
tiny,9,astar,4,8,9,502,Win
tiny,9,astar,5,7,10,503,Win
tiny,9,astar,6,7,8,503,Win
tiny,9,astar,7,8,8,502,Win
tiny,9,astar,8,11,15,499,Win
tiny,9,astar,9,5,6,505,Win
tiny,9,bds,0,9,18,501,Win
tiny,9,bds,1,14,18,496,Win
tiny,9,bds,2,6,12,504,Win
tiny,9,bds,3,9,15,501,Win
tiny,9,bds,4,8,14,502,Win
tiny,9,bds,5,7,11,503,Win
tiny,9,bds,6,7,11,503,Win
tiny,9,bds,7,8,14,502,Win
tiny,9,bds,8,11,18,499,Win
tiny,9,bds,9,5,7,505,Win
small,0,dfs,0,18,103,492,Win
small,0,dfs,1,4,5,506,Win
small,0,dfs,2,9,9,501,Win
small,0,dfs,3,13,24,497,Win
small,0,dfs,4,6,42,504,Win
small,0,dfs,5,23,114,487,Win
small,0,dfs,6,6,15,504,Win
small,0,dfs,7,17,31,493,Win
small,0,dfs,8,4,4,506,Win
small,0,dfs,9,24,68,486,Win
small,0,bfs,0,8,33,502,Win
small,0,bfs,1,4,6,506,Win
small,0,bfs,2,7,24,503,Win
small,0,bfs,3,13,74,497,Win
small,0,bfs,4,4,9,506,Win
small,0,bfs,5,19,75,491,Win
small,0,bfs,6,6,26,504,Win
small,0,bfs,7,15,63,495,Win
small,0,bfs,8,4,17,506,Win
small,0,bfs,9,2,5,508,Win
small,0,ucs,0,8,33,502,Win
small,0,ucs,1,4,6,506,Win
small,0,ucs,2,7,24,503,Win
small,0,ucs,3,13,74,497,Win
small,0,ucs,4,4,9,506,Win
small,0,ucs,5,19,75,491,Win
small,0,ucs,6,6,26,504,Win
small,0,ucs,7,15,63,495,Win
small,0,ucs,8,4,17,506,Win
small,0,ucs,9,2,5,508,Win
small,0,astar,0,8,13,502,Win
small,0,astar,1,4,5,506,Win
small,0,astar,2,7,14,503,Win
small,0,astar,3,13,29,497,Win
small,0,astar,4,4,4,506,Win
small,0,astar,5,19,36,491,Win
small,0,astar,6,6,8,504,Win
small,0,astar,7,15,34,495,Win
small,0,astar,8,4,5,506,Win
small,0,astar,9,2,2,508,Win
small,0,bds,0,8,20,502,Win
small,0,bds,1,4,7,506,Win
small,0,bds,2,7,16,503,Win
small,0,bds,3,13,53,497,Win
small,0,bds,4,4,6,506,Win
small,0,bds,5,19,32,491,Win
small,0,bds,6,6,16,504,Win
small,0,bds,7,15,33,495,Win
small,0,bds,8,4,9,506,Win
small,0,bds,9,2,2,508,Win
small,1,dfs,0,32,84,478,Win
small,1,dfs,1,3,9,507,Win
small,1,dfs,2,33,90,477,Win
small,1,dfs,3,35,91,475,Win
small,1,dfs,4,21,84,489,Win
small,1,dfs,5,25,95,485,Win
small,1,dfs,6,24,32,486,Win
small,1,dfs,7,30,48,480,Win
small,1,dfs,8,19,90,491,Win
small,1,dfs,9,21,104,489,Win
small,1,bfs,0,8,47,502,Win
small,1,bfs,1,3,10,507,Win
small,1,bfs,2,21,83,489,Win
small,1,bfs,3,23,89,487,Win
small,1,bfs,4,13,55,497,Win
small,1,bfs,5,5,16,505,Win
small,1,bfs,6,14,52,496,Win
small,1,bfs,7,10,59,500,Win
small,1,bfs,8,13,67,497,Win
small,1,bfs,9,17,62,493,Win
small,1,ucs,0,8,47,502,Win
small,1,ucs,1,3,10,507,Win
small,1,ucs,2,21,83,489,Win
small,1,ucs,3,23,89,487,Win
small,1,ucs,4,13,55,497,Win
small,1,ucs,5,5,16,505,Win
small,1,ucs,6,14,52,496,Win
small,1,ucs,7,10,59,500,Win
small,1,ucs,8,13,67,497,Win
small,1,ucs,9,17,62,493,Win
small,1,astar,0,8,14,502,Win
small,1,astar,1,3,5,507,Win
small,1,astar,2,21,45,489,Win
small,1,astar,3,23,44,487,Win
small,1,astar,4,13,24,497,Win
small,1,astar,5,5,7,505,Win
small,1,astar,6,14,20,496,Win
small,1,astar,7,10,17,500,Win
small,1,astar,8,13,29,497,Win
