layout,algorithm,iteration,cost,expanded nodes,score,result
tinyMaze,astar,64,5,8,505,Win
tinyMaze,astar,65,6,14,504,Win
tinyMaze,astar,66,5,10,505,Win
tinyMaze,astar,67,5,10,505,Win
tinyMaze,astar,68,6,14,504,Win
tinyMaze,astar,69,5,10,505,Win
tinyMaze,astar,70,5,12,505,Win
tinyMaze,astar,71,3,5,507,Win
tinyMaze,astar,72,6,12,504,Win
tinyMaze,astar,73,1,2,509,Win
tinyMaze,astar,74,5,9,505,Win
tinyMaze,astar,75,7,15,503,Win
tinyMaze,astar,76,3,5,507,Win
tinyMaze,astar,77,3,8,507,Win
tinyMaze,astar,78,3,7,507,Win
tinyMaze,astar,79,7,15,503,Win
tinyMaze,astar,80,2,3,508,Win
tinyMaze,astar,81,4,8,506,Win
tinyMaze,astar,82,4,6,506,Win
tinyMaze,astar,83,1,2,509,Win
tinyMaze,astar,84,1,2,509,Win
tinyMaze,astar,85,5,10,505,Win
tinyMaze,astar,86,1,2,509,Win
tinyMaze,astar,87,4,5,506,Win
tinyMaze,astar,88,3,6,507,Win
tinyMaze,astar,89,6,13,504,Win
tinyMaze,astar,90,3,5,507,Win
tinyMaze,astar,91,1,1,509,Win
tinyMaze,astar,92,5,11,505,Win
tinyMaze,astar,93,6,12,504,Win
tinyMaze,astar,94,5,10,505,Win
tinyMaze,astar,95,5,11,505,Win
tinyMaze,astar,96,2,3,508,Win
tinyMaze,astar,97,1,1,509,Win
tinyMaze,astar,98,4,8,506,Win
tinyMaze,astar,99,7,15,503,Win
tinyMaze,astar,100,3,6,507,Win
tinyMaze,bds,1,7,11,503,Win
tinyMaze,bds,2,2,3,508,Win
tinyMaze,bds,3,4,5,506,Win
tinyMaze,bds,4,1,1,509,Win
tinyMaze,bds,5,1,1,509,Win
tinyMaze,bds,6,6,9,504,Win
tinyMaze,bds,7,1,1,509,Win
tinyMaze,bds,8,7,12,503,Win
tinyMaze,bds,9,2,4,508,Win
tinyMaze,bds,10,5,9,505,Win
tinyMaze,bds,11,5,9,505,Win
tinyMaze,bds,12,4,8,506,Win
tinyMaze,bds,13,5,9,505,Win
tinyMaze,bds,14,7,11,503,Win
tinyMaze,bds,15,7,13,503,Win
tinyMaze,bds,16,6,10,504,Win
tinyMaze,bds,17,2,2,508,Win
tinyMaze,bds,18,2,4,508,Win
tinyMaze,bds,19,1,1,509,Win
tinyMaze,bds,20,4,6,506,Win
tinyMaze,bds,21,1,1,509,Win
tinyMaze,bds,22,5,7,505,Win
tinyMaze,bds,23,2,2,508,Win
tinyMaze,bds,24,1,1,509,Win
tinyMaze,bds,25,3,5,507,Win
tinyMaze,bds,26,6,12,504,Win
tinyMaze,bds,27,1,1,509,Win
tinyMaze,bds,28,5,8,505,Win
tinyMaze,bds,29,2,2,508,Win
tinyMaze,bds,30,1,1,509,Win
tinyMaze,bds,31,7,11,503,Win
tinyMaze,bds,32,2,2,508,Win
tinyMaze,bds,33,6,7,504,Win
tinyMaze,bds,34,2,3,508,Win
tinyMaze,bds,35,4,6,506,Win
tinyMaze,bds,36,3,5,507,Win
tinyMaze,bds,37,3,4,507,Win
tinyMaze,bds,38,2,3,508,Win
tinyMaze,bds,39,4,8,506,Win
tinyMaze,bds,40,8,14,502,Win
tinyMaze,bds,41,4,8,506,Win
tinyMaze,bds,42,6,10,504,Win
tinyMaze,bds,43,3,4,507,Win
tinyMaze,bds,44,1,1,509,Win
tinyMaze,bds,45,1,1,509,Win
tinyMaze,bds,46,7,11,503,Win
tinyMaze,bds,47,4,6,506,Win
tinyMaze,bds,48,3,3,507,Win
tinyMaze,bds,49,5,12,505,Win
tinyMaze,bds,50,5,7,505,Win
tinyMaze,bds,51,5,6,505,Win
tinyMaze,bds,52,7,12,503,Win
tinyMaze,bds,53,2,3,508,Win
tinyMaze,bds,54,2,2,508,Win
tinyMaze,bds,55,3,5,507,Win
tinyMaze,bds,56,4,8,506,Win
tinyMaze,bds,57,4,8,506,Win
tinyMaze,bds,58,3,5,507,Win
tinyMaze,bds,59,3,5,507,Win
tinyMaze,bds,60,7,13,503,Win
tinyMaze,bds,61,5,8,505,Win
tinyMaze,bds,62,4,6,506,Win
tinyMaze,bds,63,6,12,504,Win
tinyMaze,bds,64,5,7,505,Win
tinyMaze,bds,65,6,11,504,Win
tinyMaze,bds,66,5,9,505,Win
tinyMaze,bds,67,5,9,505,Win
tinyMaze,bds,68,6,13,504,Win
tinyMaze,bds,69,5,9,505,Win
tinyMaze,bds,70,5,8,505,Win
tinyMaze,bds,71,3,5,507,Win
tinyMaze,bds,72,6,11,504,Win
tinyMaze,bds,73,1,1,509,Win
tinyMaze,bds,74,5,7,505,Win
tinyMaze,bds,75,7,12,503,Win
tinyMaze,bds,76,3,5,507,Win
tinyMaze,bds,77,3,6,507,Win
tinyMaze,bds,78,3,5,507,Win
tinyMaze,bds,79,7,12,503,Win
tinyMaze,bds,80,2,2,508,Win
tinyMaze,bds,81,4,6,506,Win
tinyMaze,bds,82,4,5,506,Win
tinyMaze,bds,83,1,1,509,Win
tinyMaze,bds,84,1,1,509,Win
tinyMaze,bds,85,5,11,505,Win
tinyMaze,bds,86,1,1,509,Win
tinyMaze,bds,87,4,5,506,Win
tinyMaze,bds,88,3,5,507,Win
tinyMaze,bds,89,6,10,504,Win
tinyMaze,bds,90,3,5,507,Win
tinyMaze,bds,91,1,1,509,Win
tinyMaze,bds,92,5,9,505,Win
tinyMaze,bds,93,6,10,504,Win
tinyMaze,bds,94,5,11,505,Win
tinyMaze,bds,95,5,8,505,Win
tinyMaze,bds,96,2,2,508,Win
tinyMaze,bds,97,1,1,509,Win
tinyMaze,bds,98,4,8,506,Win
tinyMaze,bds,99,7,11,503,Win
tinyMaze,bds,100,3,4,507,Win
smallMaze,dfs,1,7,7,503,Win
smallMaze,dfs,2,19,77,491,Win
smallMaze,dfs,3,3,3,507,Win
smallMaze,dfs,4,5,5,505,Win
smallMaze,dfs,5,38,43,472,Win
smallMaze,dfs,6,2,46,508,Win
smallMaze,dfs,7,21,77,489,Win
smallMaze,dfs,8,10,11,500,Win
smallMaze,dfs,9,25,36,485,Win
smallMaze,dfs,10,45,55,465,Win
smallMaze,dfs,11,14,21,496,Win
smallMaze,dfs,12,34,68,476,Win
smallMaze,dfs,13,21,79,489,Win
smallMaze,dfs,14,11,69,499,Win
smallMaze,dfs,15,6,18,504,Win
smallMaze,dfs,16,26,26,484,Win
smallMaze,dfs,17,16,60,494,Win
smallMaze,dfs,18,1,10,509,Win
smallMaze,dfs,19,12,70,498,Win
smallMaze,dfs,20,19,60,491,Win
smallMaze,dfs,21,29,82,481,Win
smallMaze,dfs,22,57,67,453,Win
smallMaze,dfs,23,18,85,492,Win
smallMaze,dfs,24,18,50,492,Win
smallMaze,dfs,25,2,2,508,Win
smallMaze,dfs,26,4,13,506,Win
smallMaze,dfs,27,23,35,487,Win
smallMaze,dfs,28,16,17,494,Win
smallMaze,dfs,29,12,88,498,Win
smallMaze,dfs,30,13,44,497,Win
smallMaze,dfs,31,29,87,481,Win
smallMaze,dfs,32,33,53,477,Win
smallMaze,dfs,33,56,76,454,Win
smallMaze,dfs,34,50,71,460,Win
smallMaze,dfs,35,24,34,486,Win
smallMaze,dfs,36,49,67,461,Win
smallMaze,dfs,37,11,55,499,Win
smallMaze,dfs,38,18,40,492,Win
smallMaze,dfs,39,10,22,500,Win
smallMaze,dfs,40,24,24,486,Win
smallMaze,dfs,41,19,61,491,Win
smallMaze,dfs,42,11,23,499,Win
smallMaze,dfs,43,51,76,459,Win
smallMaze,dfs,44,26,50,484,Win
smallMaze,dfs,45,13,89,497,Win
smallMaze,dfs,46,35,45,475,Win
smallMaze,dfs,47,40,76,470,Win
smallMaze,dfs,48,16,26,494,Win
smallMaze,dfs,49,56,72,454,Win
smallMaze,dfs,50,44,58,466,Win
smallMaze,dfs,51,8,12,502,Win
smallMaze,dfs,52,49,49,461,Win
smallMaze,dfs,53,8,8,502,Win
smallMaze,dfs,54,2,2,508,Win
smallMaze,dfs,55,32,42,478,Win
smallMaze,dfs,56,1,1,509,Win
smallMaze,dfs,57,16,80,494,Win
smallMaze,dfs,58,24,34,486,Win
smallMaze,dfs,59,14,19,496,Win
smallMaze,dfs,60,28,50,482,Win
smallMaze,dfs,61,41,60,469,Win
smallMaze,dfs,62,1,1,509,Win
smallMaze,dfs,63,16,63,494,Win
smallMaze,dfs,64,42,60,468,Win
smallMaze,dfs,65,43,88,467,Win
smallMaze,dfs,66,36,93,474,Win
smallMaze,dfs,67,32,58,478,Win
smallMaze,dfs,68,15,25,495,Win
smallMaze,dfs,69,30,30,480,Win
smallMaze,dfs,70,54,77,456,Win
smallMaze,dfs,71,6,15,504,Win
smallMaze,dfs,72,38,48,472,Win
smallMaze,dfs,73,17,75,493,Win
smallMaze,dfs,74,27,37,483,Win
smallMaze,dfs,75,46,46,464,Win
smallMaze,dfs,76,27,40,483,Win
smallMaze,dfs,77,26,87,484,Win
smallMaze,dfs,78,16,27,494,Win
smallMaze,dfs,79,13,23,497,Win
smallMaze,dfs,80,11,11,499,Win
smallMaze,dfs,81,10,10,500,Win
smallMaze,dfs,82,35,36,475,Win
smallMaze,dfs,83,25,25,485,Win
smallMaze,dfs,84,15,25,495,Win
smallMaze,dfs,85,27,94,483,Win
smallMaze,dfs,86,24,34,486,Win
smallMaze,dfs,87,47,77,463,Win
smallMaze,dfs,88,33,65,477,Win
smallMaze,dfs,89,26,42,484,Win
smallMaze,dfs,90,21,69,489,Win
smallMaze,dfs,91,3,3,507,Win
smallMaze,dfs,92,9,85,501,Win
smallMaze,dfs,93,38,48,472,Win
smallMaze,dfs,94,40,70,470,Win
smallMaze,dfs,95,5,5,505,Win
smallMaze,dfs,96,37,59,473,Win
smallMaze,dfs,97,26,37,484,Win
smallMaze,dfs,98,17,39,493,Win
smallMaze,dfs,99,22,32,488,Win
smallMaze,dfs,100,22,23,488,Win
smallMaze,bfs,1,7,16,503,Win
smallMaze,bfs,2,1,1,509,Win
smallMaze,bfs,3,3,6,507,Win
smallMaze,bfs,4,5,13,505,Win
smallMaze,bfs,5,18,64,492,Win
smallMaze,bfs,6,2,6,508,Win
smallMaze,bfs,7,5,14,505,Win
smallMaze,bfs,8,10,43,500,Win
smallMaze,bfs,9,25,67,485,Win
smallMaze,bfs,10,23,60,487,Win
smallMaze,bfs,11,14,51,496,Win
smallMaze,bfs,12,16,54,494,Win
smallMaze,bfs,13,21,48,489,Win
smallMaze,bfs,14,9,27,501,Win
